dataset,criteria,metric,model,error,detection,repair,test_repaired,fairness_impact,accuracy_impact
adult,sex,equal_opportunity,logistic_regression,outliers,SD,impute__mean_dummy,True,insignificant,positive
adult,sex,equal_opportunity,logistic_regression,outliers,SD,impute__mode_dummy,True,insignificant,positive
adult,sex,equal_opportunity,logistic_regression,outliers,SD,impute__median_dummy,True,insignificant,positive
adult,sex,equal_opportunity,logistic_regression,outliers,IQR,impute__mean_dummy,True,negative,positive
adult,sex,equal_opportunity,logistic_regression,outliers,IQR,impute__mode_dummy,True,negative,insignificant
adult,sex,equal_opportunity,logistic_regression,outliers,IQR,impute__median_dummy,True,negative,insignificant
adult,sex,equal_opportunity,logistic_regression,outliers,IF,impute__mean_dummy,True,negative,positive
adult,sex,equal_opportunity,logistic_regression,outliers,IF,impute__mode_dummy,True,insignificant,positive
adult,sex,equal_opportunity,logistic_regression,outliers,IF,impute__median_dummy,True,insignificant,positive
adult,race,equal_opportunity,logistic_regression,outliers,SD,impute__mean_dummy,True,positive,positive
adult,race,equal_opportunity,logistic_regression,outliers,SD,impute__mode_dummy,True,positive,positive
adult,race,equal_opportunity,logistic_regression,outliers,SD,impute__median_dummy,True,positive,positive
adult,race,equal_opportunity,logistic_regression,outliers,IQR,impute__mean_dummy,True,negative,positive
adult,race,equal_opportunity,logistic_regression,outliers,IQR,impute__mode_dummy,True,negative,insignificant
adult,race,equal_opportunity,logistic_regression,outliers,IQR,impute__median_dummy,True,negative,insignificant
adult,race,equal_opportunity,logistic_regression,outliers,IF,impute__mean_dummy,True,positive,positive
adult,race,equal_opportunity,logistic_regression,outliers,IF,impute__mode_dummy,True,positive,positive
adult,race,equal_opportunity,logistic_regression,outliers,IF,impute__median_dummy,True,positive,positive
folktables,sex,equal_opportunity,logistic_regression,outliers,SD,impute__mean_dummy,True,negative,positive
folktables,sex,equal_opportunity,logistic_regression,outliers,SD,impute__mode_dummy,True,negative,positive
folktables,sex,equal_opportunity,logistic_regression,outliers,SD,impute__median_dummy,True,negative,positive
folktables,sex,equal_opportunity,logistic_regression,outliers,IQR,impute__mean_dummy,True,negative,positive
folktables,sex,equal_opportunity,logistic_regression,outliers,IQR,impute__mode_dummy,True,negative,positive
folktables,sex,equal_opportunity,logistic_regression,outliers,IQR,impute__median_dummy,True,negative,positive
folktables,sex,equal_opportunity,logistic_regression,outliers,IF,impute__mean_dummy,True,negative,positive
folktables,sex,equal_opportunity,logistic_regression,outliers,IF,impute__mode_dummy,True,negative,positive
folktables,sex,equal_opportunity,logistic_regression,outliers,IF,impute__median_dummy,True,negative,positive
folktables,rac1p,equal_opportunity,logistic_regression,outliers,SD,impute__mean_dummy,True,insignificant,positive
folktables,rac1p,equal_opportunity,logistic_regression,outliers,SD,impute__mode_dummy,True,insignificant,positive
folktables,rac1p,equal_opportunity,logistic_regression,outliers,SD,impute__median_dummy,True,insignificant,positive
folktables,rac1p,equal_opportunity,logistic_regression,outliers,IQR,impute__mean_dummy,True,insignificant,positive
folktables,rac1p,equal_opportunity,logistic_regression,outliers,IQR,impute__mode_dummy,True,insignificant,positive
folktables,rac1p,equal_opportunity,logistic_regression,outliers,IQR,impute__median_dummy,True,insignificant,positive
folktables,rac1p,equal_opportunity,logistic_regression,outliers,IF,impute__mean_dummy,True,insignificant,positive
folktables,rac1p,equal_opportunity,logistic_regression,outliers,IF,impute__mode_dummy,True,insignificant,positive
folktables,rac1p,equal_opportunity,logistic_regression,outliers,IF,impute__median_dummy,True,insignificant,positive
german,age,equal_opportunity,logistic_regression,outliers,SD,impute__mean_dummy,True,positive,positive
german,age,equal_opportunity,logistic_regression,outliers,SD,impute__mode_dummy,True,insignificant,positive
german,age,equal_opportunity,logistic_regression,outliers,SD,impute__median_dummy,True,insignificant,positive
german,age,equal_opportunity,logistic_regression,outliers,IQR,impute__mean_dummy,True,insignificant,insignificant
german,age,equal_opportunity,logistic_regression,outliers,IQR,impute__mode_dummy,True,insignificant,insignificant
german,age,equal_opportunity,logistic_regression,outliers,IQR,impute__median_dummy,True,insignificant,insignificant
german,age,equal_opportunity,logistic_regression,outliers,IF,impute__mean_dummy,True,positive,positive
german,age,equal_opportunity,logistic_regression,outliers,IF,impute__mode_dummy,True,insignificant,positive
german,age,equal_opportunity,logistic_regression,outliers,IF,impute__median_dummy,True,insignificant,positive
heart,gender,equal_opportunity,logistic_regression,outliers,SD,impute__mean_dummy,True,negative,positive
heart,gender,equal_opportunity,logistic_regression,outliers,SD,impute__mode_dummy,True,negative,positive
heart,gender,equal_opportunity,logistic_regression,outliers,SD,impute__median_dummy,True,negative,positive
heart,gender,equal_opportunity,logistic_regression,outliers,IQR,impute__mean_dummy,True,negative,positive
heart,gender,equal_opportunity,logistic_regression,outliers,IQR,impute__mode_dummy,True,negative,insignificant
heart,gender,equal_opportunity,logistic_regression,outliers,IQR,impute__median_dummy,True,negative,insignificant
heart,gender,equal_opportunity,logistic_regression,outliers,IF,impute__mean_dummy,True,insignificant,positive
heart,gender,equal_opportunity,logistic_regression,outliers,IF,impute__mode_dummy,True,insignificant,positive
heart,gender,equal_opportunity,logistic_regression,outliers,IF,impute__median_dummy,True,insignificant,positive
adult,sex,equal_opportunity,knn_classification,outliers,SD,impute__mean_dummy,True,insignificant,positive
adult,sex,equal_opportunity,knn_classification,outliers,SD,impute__mode_dummy,True,insignificant,positive
adult,sex,equal_opportunity,knn_classification,outliers,SD,impute__median_dummy,True,insignificant,positive
adult,sex,equal_opportunity,knn_classification,outliers,IQR,impute__mean_dummy,True,negative,positive
adult,sex,equal_opportunity,knn_classification,outliers,IQR,impute__mode_dummy,True,negative,insignificant
adult,sex,equal_opportunity,knn_classification,outliers,IQR,impute__median_dummy,True,negative,positive
adult,sex,equal_opportunity,knn_classification,outliers,IF,impute__mean_dummy,True,negative,positive
adult,sex,equal_opportunity,knn_classification,outliers,IF,impute__mode_dummy,True,insignificant,positive
adult,sex,equal_opportunity,knn_classification,outliers,IF,impute__median_dummy,True,insignificant,positive
adult,race,equal_opportunity,knn_classification,outliers,SD,impute__mean_dummy,True,negative,positive
adult,race,equal_opportunity,knn_classification,outliers,SD,impute__mode_dummy,True,insignificant,positive
adult,race,equal_opportunity,knn_classification,outliers,SD,impute__median_dummy,True,insignificant,positive
adult,race,equal_opportunity,knn_classification,outliers,IQR,impute__mean_dummy,True,negative,positive
adult,race,equal_opportunity,knn_classification,outliers,IQR,impute__mode_dummy,True,negative,insignificant
adult,race,equal_opportunity,knn_classification,outliers,IQR,impute__median_dummy,True,negative,positive
adult,race,equal_opportunity,knn_classification,outliers,IF,impute__mean_dummy,True,negative,positive
adult,race,equal_opportunity,knn_classification,outliers,IF,impute__mode_dummy,True,insignificant,positive
adult,race,equal_opportunity,knn_classification,outliers,IF,impute__median_dummy,True,insignificant,positive
folktables,sex,equal_opportunity,knn_classification,outliers,SD,impute__mean_dummy,True,insignificant,positive
folktables,sex,equal_opportunity,knn_classification,outliers,SD,impute__mode_dummy,True,insignificant,positive
folktables,sex,equal_opportunity,knn_classification,outliers,SD,impute__median_dummy,True,insignificant,positive
folktables,sex,equal_opportunity,knn_classification,outliers,IQR,impute__mean_dummy,True,insignificant,insignificant
folktables,sex,equal_opportunity,knn_classification,outliers,IQR,impute__mode_dummy,True,insignificant,insignificant
folktables,sex,equal_opportunity,knn_classification,outliers,IQR,impute__median_dummy,True,insignificant,insignificant
folktables,sex,equal_opportunity,knn_classification,outliers,IF,impute__mean_dummy,True,negative,positive
folktables,sex,equal_opportunity,knn_classification,outliers,IF,impute__mode_dummy,True,insignificant,positive
folktables,sex,equal_opportunity,knn_classification,outliers,IF,impute__median_dummy,True,insignificant,positive
folktables,rac1p,equal_opportunity,knn_classification,outliers,SD,impute__mean_dummy,True,insignificant,positive
folktables,rac1p,equal_opportunity,knn_classification,outliers,SD,impute__mode_dummy,True,insignificant,positive
folktables,rac1p,equal_opportunity,knn_classification,outliers,SD,impute__median_dummy,True,insignificant,positive
folktables,rac1p,equal_opportunity,knn_classification,outliers,IQR,impute__mean_dummy,True,insignificant,insignificant
folktables,rac1p,equal_opportunity,knn_classification,outliers,IQR,impute__mode_dummy,True,insignificant,insignificant
folktables,rac1p,equal_opportunity,knn_classification,outliers,IQR,impute__median_dummy,True,insignificant,insignificant
folktables,rac1p,equal_opportunity,knn_classification,outliers,IF,impute__mean_dummy,True,insignificant,positive
folktables,rac1p,equal_opportunity,knn_classification,outliers,IF,impute__mode_dummy,True,insignificant,positive
folktables,rac1p,equal_opportunity,knn_classification,outliers,IF,impute__median_dummy,True,insignificant,positive
german,age,equal_opportunity,knn_classification,outliers,SD,impute__mean_dummy,True,insignificant,insignificant
german,age,equal_opportunity,knn_classification,outliers,SD,impute__mode_dummy,True,insignificant,insignificant
german,age,equal_opportunity,knn_classification,outliers,SD,impute__median_dummy,True,insignificant,insignificant
german,age,equal_opportunity,knn_classification,outliers,IQR,impute__mean_dummy,True,insignificant,insignificant
german,age,equal_opportunity,knn_classification,outliers,IQR,impute__mode_dummy,True,insignificant,negative
german,age,equal_opportunity,knn_classification,outliers,IQR,impute__median_dummy,True,insignificant,insignificant
german,age,equal_opportunity,knn_classification,outliers,IF,impute__mean_dummy,True,insignificant,positive
german,age,equal_opportunity,knn_classification,outliers,IF,impute__mode_dummy,True,insignificant,insignificant
german,age,equal_opportunity,knn_classification,outliers,IF,impute__median_dummy,True,insignificant,positive
heart,gender,equal_opportunity,knn_classification,outliers,SD,impute__mean_dummy,True,negative,positive
heart,gender,equal_opportunity,knn_classification,outliers,SD,impute__mode_dummy,True,negative,positive
heart,gender,equal_opportunity,knn_classification,outliers,SD,impute__median_dummy,True,negative,positive
heart,gender,equal_opportunity,knn_classification,outliers,IQR,impute__mean_dummy,True,negative,positive
heart,gender,equal_opportunity,knn_classification,outliers,IQR,impute__mode_dummy,True,negative,positive
heart,gender,equal_opportunity,knn_classification,outliers,IQR,impute__median_dummy,True,negative,positive
heart,gender,equal_opportunity,knn_classification,outliers,IF,impute__mean_dummy,True,negative,positive
heart,gender,equal_opportunity,knn_classification,outliers,IF,impute__mode_dummy,True,negative,positive
heart,gender,equal_opportunity,knn_classification,outliers,IF,impute__median_dummy,True,negative,positive
adult,sex,equal_opportunity,XGBoost,outliers,SD,impute__mean_dummy,True,positive,positive
adult,sex,equal_opportunity,XGBoost,outliers,SD,impute__mode_dummy,True,positive,positive
adult,sex,equal_opportunity,XGBoost,outliers,SD,impute__median_dummy,True,positive,positive
adult,sex,equal_opportunity,XGBoost,outliers,IQR,impute__mean_dummy,True,negative,positive
adult,sex,equal_opportunity,XGBoost,outliers,IQR,impute__mode_dummy,True,negative,positive
adult,sex,equal_opportunity,XGBoost,outliers,IQR,impute__median_dummy,True,negative,positive
adult,sex,equal_opportunity,XGBoost,outliers,IF,impute__mean_dummy,True,positive,positive
adult,sex,equal_opportunity,XGBoost,outliers,IF,impute__mode_dummy,True,positive,positive
adult,sex,equal_opportunity,XGBoost,outliers,IF,impute__median_dummy,True,positive,positive
adult,race,equal_opportunity,XGBoost,outliers,SD,impute__mean_dummy,True,positive,positive
adult,race,equal_opportunity,XGBoost,outliers,SD,impute__mode_dummy,True,positive,positive
adult,race,equal_opportunity,XGBoost,outliers,SD,impute__median_dummy,True,positive,positive
adult,race,equal_opportunity,XGBoost,outliers,IQR,impute__mean_dummy,True,negative,positive
adult,race,equal_opportunity,XGBoost,outliers,IQR,impute__mode_dummy,True,negative,positive
adult,race,equal_opportunity,XGBoost,outliers,IQR,impute__median_dummy,True,negative,positive
adult,race,equal_opportunity,XGBoost,outliers,IF,impute__mean_dummy,True,positive,positive
adult,race,equal_opportunity,XGBoost,outliers,IF,impute__mode_dummy,True,positive,positive
adult,race,equal_opportunity,XGBoost,outliers,IF,impute__median_dummy,True,positive,positive
folktables,sex,equal_opportunity,XGBoost,outliers,SD,impute__mean_dummy,True,negative,positive
folktables,sex,equal_opportunity,XGBoost,outliers,SD,impute__mode_dummy,True,negative,positive
folktables,sex,equal_opportunity,XGBoost,outliers,SD,impute__median_dummy,True,negative,positive
folktables,sex,equal_opportunity,XGBoost,outliers,IQR,impute__mean_dummy,True,insignificant,positive
folktables,sex,equal_opportunity,XGBoost,outliers,IQR,impute__mode_dummy,True,insignificant,positive
folktables,sex,equal_opportunity,XGBoost,outliers,IQR,impute__median_dummy,True,insignificant,positive
folktables,sex,equal_opportunity,XGBoost,outliers,IF,impute__mean_dummy,True,negative,positive
folktables,sex,equal_opportunity,XGBoost,outliers,IF,impute__mode_dummy,True,negative,positive
folktables,sex,equal_opportunity,XGBoost,outliers,IF,impute__median_dummy,True,negative,positive
folktables,rac1p,equal_opportunity,XGBoost,outliers,SD,impute__mean_dummy,True,positive,positive
folktables,rac1p,equal_opportunity,XGBoost,outliers,SD,impute__mode_dummy,True,positive,positive
folktables,rac1p,equal_opportunity,XGBoost,outliers,SD,impute__median_dummy,True,positive,positive
folktables,rac1p,equal_opportunity,XGBoost,outliers,IQR,impute__mean_dummy,True,positive,positive
folktables,rac1p,equal_opportunity,XGBoost,outliers,IQR,impute__mode_dummy,True,positive,positive
folktables,rac1p,equal_opportunity,XGBoost,outliers,IQR,impute__median_dummy,True,positive,positive
folktables,rac1p,equal_opportunity,XGBoost,outliers,IF,impute__mean_dummy,True,positive,positive
folktables,rac1p,equal_opportunity,XGBoost,outliers,IF,impute__mode_dummy,True,positive,positive
folktables,rac1p,equal_opportunity,XGBoost,outliers,IF,impute__median_dummy,True,positive,positive
german,age,equal_opportunity,XGBoost,outliers,SD,impute__mean_dummy,True,insignificant,insignificant
german,age,equal_opportunity,XGBoost,outliers,SD,impute__mode_dummy,True,insignificant,insignificant
german,age,equal_opportunity,XGBoost,outliers,SD,impute__median_dummy,True,insignificant,insignificant
german,age,equal_opportunity,XGBoost,outliers,IQR,impute__mean_dummy,True,insignificant,insignificant
german,age,equal_opportunity,XGBoost,outliers,IQR,impute__mode_dummy,True,insignificant,insignificant
german,age,equal_opportunity,XGBoost,outliers,IQR,impute__median_dummy,True,insignificant,insignificant
german,age,equal_opportunity,XGBoost,outliers,IF,impute__mean_dummy,True,insignificant,positive
german,age,equal_opportunity,XGBoost,outliers,IF,impute__mode_dummy,True,insignificant,insignificant
german,age,equal_opportunity,XGBoost,outliers,IF,impute__median_dummy,True,insignificant,positive
heart,gender,equal_opportunity,XGBoost,outliers,SD,impute__mean_dummy,True,negative,positive
heart,gender,equal_opportunity,XGBoost,outliers,SD,impute__mode_dummy,True,negative,positive
heart,gender,equal_opportunity,XGBoost,outliers,SD,impute__median_dummy,True,negative,positive
heart,gender,equal_opportunity,XGBoost,outliers,IQR,impute__mean_dummy,True,negative,negative
heart,gender,equal_opportunity,XGBoost,outliers,IQR,impute__mode_dummy,True,negative,negative
heart,gender,equal_opportunity,XGBoost,outliers,IQR,impute__median_dummy,True,negative,negative
heart,gender,equal_opportunity,XGBoost,outliers,IF,impute__mean_dummy,True,negative,positive
heart,gender,equal_opportunity,XGBoost,outliers,IF,impute__mode_dummy,True,insignificant,positive
heart,gender,equal_opportunity,XGBoost,outliers,IF,impute__median_dummy,True,negative,insignificant
adult,sex,equal_opportunity,logistic_regression,missing_values,,impute_mean_mode,True,negative,positive
adult,sex,equal_opportunity,logistic_regression,missing_values,,impute_mean_dummy,True,negative,positive
adult,sex,equal_opportunity,logistic_regression,missing_values,,impute_median_mode,True,negative,positive
adult,sex,equal_opportunity,logistic_regression,missing_values,,impute_median_dummy,True,negative,positive
adult,sex,equal_opportunity,logistic_regression,missing_values,,impute_mode_mode,True,negative,positive
adult,sex,equal_opportunity,logistic_regression,missing_values,,impute_mode_dummy,True,negative,positive
adult,race,equal_opportunity,logistic_regression,missing_values,,impute_mean_mode,True,positive,positive
adult,race,equal_opportunity,logistic_regression,missing_values,,impute_mean_dummy,True,positive,positive
adult,race,equal_opportunity,logistic_regression,missing_values,,impute_median_mode,True,positive,positive
adult,race,equal_opportunity,logistic_regression,missing_values,,impute_median_dummy,True,positive,positive
adult,race,equal_opportunity,logistic_regression,missing_values,,impute_mode_mode,True,positive,positive
adult,race,equal_opportunity,logistic_regression,missing_values,,impute_mode_dummy,True,positive,positive
folktables,sex,equal_opportunity,logistic_regression,missing_values,,impute_mean_mode,True,negative,positive
folktables,sex,equal_opportunity,logistic_regression,missing_values,,impute_mean_dummy,True,negative,negative
folktables,sex,equal_opportunity,logistic_regression,missing_values,,impute_median_mode,True,negative,positive
folktables,sex,equal_opportunity,logistic_regression,missing_values,,impute_median_dummy,True,negative,negative
folktables,sex,equal_opportunity,logistic_regression,missing_values,,impute_mode_mode,True,negative,positive
folktables,sex,equal_opportunity,logistic_regression,missing_values,,impute_mode_dummy,True,negative,negative
folktables,rac1p,equal_opportunity,logistic_regression,missing_values,,impute_mean_mode,True,positive,positive
folktables,rac1p,equal_opportunity,logistic_regression,missing_values,,impute_mean_dummy,True,insignificant,negative
folktables,rac1p,equal_opportunity,logistic_regression,missing_values,,impute_median_mode,True,positive,positive
folktables,rac1p,equal_opportunity,logistic_regression,missing_values,,impute_median_dummy,True,insignificant,negative
folktables,rac1p,equal_opportunity,logistic_regression,missing_values,,impute_mode_mode,True,positive,positive
folktables,rac1p,equal_opportunity,logistic_regression,missing_values,,impute_mode_dummy,True,insignificant,negative
german,age,equal_opportunity,logistic_regression,missing_values,,impute_mean_mode,True,insignificant,insignificant
german,age,equal_opportunity,logistic_regression,missing_values,,impute_mean_dummy,True,insignificant,insignificant
german,age,equal_opportunity,logistic_regression,missing_values,,impute_median_mode,True,insignificant,insignificant
german,age,equal_opportunity,logistic_regression,missing_values,,impute_median_dummy,True,insignificant,insignificant
german,age,equal_opportunity,logistic_regression,missing_values,,impute_mode_mode,True,insignificant,insignificant
german,age,equal_opportunity,logistic_regression,missing_values,,impute_mode_dummy,True,insignificant,insignificant
adult,sex,equal_opportunity,knn_classification,missing_values,,impute_mean_mode,True,negative,positive
adult,sex,equal_opportunity,knn_classification,missing_values,,impute_mean_dummy,True,negative,positive
adult,sex,equal_opportunity,knn_classification,missing_values,,impute_median_mode,True,negative,positive
adult,sex,equal_opportunity,knn_classification,missing_values,,impute_median_dummy,True,negative,positive
adult,sex,equal_opportunity,knn_classification,missing_values,,impute_mode_mode,True,negative,positive
adult,sex,equal_opportunity,knn_classification,missing_values,,impute_mode_dummy,True,negative,positive
adult,race,equal_opportunity,knn_classification,missing_values,,impute_mean_mode,True,insignificant,positive
adult,race,equal_opportunity,knn_classification,missing_values,,impute_mean_dummy,True,negative,positive
adult,race,equal_opportunity,knn_classification,missing_values,,impute_median_mode,True,insignificant,positive
adult,race,equal_opportunity,knn_classification,missing_values,,impute_median_dummy,True,negative,positive
adult,race,equal_opportunity,knn_classification,missing_values,,impute_mode_mode,True,insignificant,positive
adult,race,equal_opportunity,knn_classification,missing_values,,impute_mode_dummy,True,negative,positive
folktables,sex,equal_opportunity,knn_classification,missing_values,,impute_mean_mode,True,positive,positive
folktables,sex,equal_opportunity,knn_classification,missing_values,,impute_mean_dummy,True,positive,positive
folktables,sex,equal_opportunity,knn_classification,missing_values,,impute_median_mode,True,positive,positive
folktables,sex,equal_opportunity,knn_classification,missing_values,,impute_median_dummy,True,positive,positive
folktables,sex,equal_opportunity,knn_classification,missing_values,,impute_mode_mode,True,positive,positive
folktables,sex,equal_opportunity,knn_classification,missing_values,,impute_mode_dummy,True,positive,positive
folktables,rac1p,equal_opportunity,knn_classification,missing_values,,impute_mean_mode,True,negative,positive
folktables,rac1p,equal_opportunity,knn_classification,missing_values,,impute_mean_dummy,True,negative,positive
folktables,rac1p,equal_opportunity,knn_classification,missing_values,,impute_median_mode,True,negative,positive
folktables,rac1p,equal_opportunity,knn_classification,missing_values,,impute_median_dummy,True,negative,positive
folktables,rac1p,equal_opportunity,knn_classification,missing_values,,impute_mode_mode,True,negative,positive
folktables,rac1p,equal_opportunity,knn_classification,missing_values,,impute_mode_dummy,True,negative,positive
german,age,equal_opportunity,knn_classification,missing_values,,impute_mean_mode,True,positive,insignificant
german,age,equal_opportunity,knn_classification,missing_values,,impute_mean_dummy,True,positive,insignificant
german,age,equal_opportunity,knn_classification,missing_values,,impute_median_mode,True,positive,insignificant
german,age,equal_opportunity,knn_classification,missing_values,,impute_median_dummy,True,positive,insignificant
german,age,equal_opportunity,knn_classification,missing_values,,impute_mode_mode,True,positive,insignificant
german,age,equal_opportunity,knn_classification,missing_values,,impute_mode_dummy,True,positive,insignificant
adult,sex,equal_opportunity,XGBoost,missing_values,,impute_mean_mode,True,negative,positive
adult,sex,equal_opportunity,XGBoost,missing_values,,impute_mean_dummy,True,negative,positive
adult,sex,equal_opportunity,XGBoost,missing_values,,impute_median_mode,True,negative,positive
adult,sex,equal_opportunity,XGBoost,missing_values,,impute_median_dummy,True,negative,positive
adult,sex,equal_opportunity,XGBoost,missing_values,,impute_mode_mode,True,negative,positive
adult,sex,equal_opportunity,XGBoost,missing_values,,impute_mode_dummy,True,negative,positive
adult,race,equal_opportunity,XGBoost,missing_values,,impute_mean_mode,True,positive,positive
adult,race,equal_opportunity,XGBoost,missing_values,,impute_mean_dummy,True,insignificant,positive
adult,race,equal_opportunity,XGBoost,missing_values,,impute_median_mode,True,positive,positive
adult,race,equal_opportunity,XGBoost,missing_values,,impute_median_dummy,True,insignificant,positive
adult,race,equal_opportunity,XGBoost,missing_values,,impute_mode_mode,True,positive,positive
adult,race,equal_opportunity,XGBoost,missing_values,,impute_mode_dummy,True,insignificant,positive
folktables,sex,equal_opportunity,XGBoost,missing_values,,impute_mean_mode,True,negative,positive
folktables,sex,equal_opportunity,XGBoost,missing_values,,impute_mean_dummy,True,insignificant,negative
folktables,sex,equal_opportunity,XGBoost,missing_values,,impute_median_mode,True,insignificant,positive
folktables,sex,equal_opportunity,XGBoost,missing_values,,impute_median_dummy,True,insignificant,negative
folktables,sex,equal_opportunity,XGBoost,missing_values,,impute_mode_mode,True,insignificant,positive
folktables,sex,equal_opportunity,XGBoost,missing_values,,impute_mode_dummy,True,insignificant,negative
folktables,rac1p,equal_opportunity,XGBoost,missing_values,,impute_mean_mode,True,positive,positive
folktables,rac1p,equal_opportunity,XGBoost,missing_values,,impute_mean_dummy,True,positive,negative
folktables,rac1p,equal_opportunity,XGBoost,missing_values,,impute_median_mode,True,positive,positive
folktables,rac1p,equal_opportunity,XGBoost,missing_values,,impute_median_dummy,True,positive,negative
folktables,rac1p,equal_opportunity,XGBoost,missing_values,,impute_mode_mode,True,positive,positive
folktables,rac1p,equal_opportunity,XGBoost,missing_values,,impute_mode_dummy,True,positive,negative
german,age,equal_opportunity,XGBoost,missing_values,,impute_mean_mode,True,insignificant,insignificant
german,age,equal_opportunity,XGBoost,missing_values,,impute_mean_dummy,True,insignificant,insignificant
german,age,equal_opportunity,XGBoost,missing_values,,impute_median_mode,True,insignificant,insignificant
german,age,equal_opportunity,XGBoost,missing_values,,impute_median_dummy,True,insignificant,insignificant
german,age,equal_opportunity,XGBoost,missing_values,,impute_mode_mode,True,insignificant,insignificant
german,age,equal_opportunity,XGBoost,missing_values,,impute_mode_dummy,True,insignificant,insignificant
adult,sex,equal_opportunity,logistic_regression,mislabel,cleanlab,flip,False,insignificant,insignificant
adult,race,equal_opportunity,logistic_regression,mislabel,cleanlab,flip,False,insignificant,insignificant
folktables,sex,equal_opportunity,logistic_regression,mislabel,cleanlab,flip,False,insignificant,insignificant
folktables,rac1p,equal_opportunity,logistic_regression,mislabel,cleanlab,flip,False,insignificant,insignificant
german,age,equal_opportunity,logistic_regression,mislabel,cleanlab,flip,False,insignificant,insignificant
heart,gender,equal_opportunity,logistic_regression,mislabel,cleanlab,flip,False,insignificant,insignificant
adult,sex,equal_opportunity,knn_classification,mislabel,cleanlab,flip,False,insignificant,insignificant
adult,race,equal_opportunity,knn_classification,mislabel,cleanlab,flip,False,insignificant,insignificant
folktables,sex,equal_opportunity,knn_classification,mislabel,cleanlab,flip,False,insignificant,insignificant
folktables,rac1p,equal_opportunity,knn_classification,mislabel,cleanlab,flip,False,insignificant,insignificant
german,age,equal_opportunity,knn_classification,mislabel,cleanlab,flip,False,insignificant,negative
heart,gender,equal_opportunity,knn_classification,mislabel,cleanlab,flip,False,insignificant,insignificant
adult,sex,equal_opportunity,XGBoost,mislabel,cleanlab,flip,False,insignificant,insignificant
adult,race,equal_opportunity,XGBoost,mislabel,cleanlab,flip,False,negative,insignificant
folktables,sex,equal_opportunity,XGBoost,mislabel,cleanlab,flip,False,insignificant,insignificant
folktables,rac1p,equal_opportunity,XGBoost,mislabel,cleanlab,flip,False,insignificant,insignificant
german,age,equal_opportunity,XGBoost,mislabel,cleanlab,flip,False,insignificant,insignificant
